"STRATUM","hhweight","region","hhsize","ch14","adult","elderly","sex_hhh","cons","HHID","year","educlevel_hhh","povline","food_povline","CLUSTER","_merge","below_pov"
1,2903.68443463768,1,5,2,3,0,1,73287.7281056318,10316103001193,2018,1,49320,33748,103161,3,0
1,1246.53119668789,1,6,4,2,0,1,57256.2024102781,10322103001006,2018,1,49320,33748,103221,3,0
1,1246.53119668789,1,7,2,5,0,1,36010.8115357034,10322103001012,2018,3,49320,33748,103221,3,1
1,1246.53119668789,1,7,6,1,0,2,51157.8059878061,10322103001017,2018,1,49320,33748,103221,3,0
1,1246.53119668789,1,5,3,2,0,1,64331.3289938326,10322103001023,2018,1,49320,33748,103221,3,0
1,1246.53119668789,1,7,5,2,0,1,35152.4997363128,10322103001034,2018,3,49320,33748,103221,3,1
1,1246.53119668789,1,6,4,2,0,1,67682.7781827282,10322103001040,2018,1,49320,33748,103221,3,0
1,1246.53119668789,1,7,4,3,0,1,70458.2005874844,10322103001046,2018,1,49320,33748,103221,3,0
1,1246.53119668789,1,6,4,2,0,1,47501.9902163404,10322103001051,2018,1,49320,33748,103221,3,1
1,1246.53119668789,1,2,1,1,0,2,83992.7057630733,10322103001063,2018,1,49320,33748,103221,3,0
1,1246.53119668789,1,6,4,2,0,1,30926.2510208428,10322103001068,2018,1,49320,33748,103221,3,1
1,1246.53119668789,1,5,3,2,2,1,37145.2246809873,10322103001074,2018,1,49320,33748,103221,3,1
1,1246.53119668789,1,6,4,2,1,2,39324.0818872717,10322103001085,2018,3,49320,33748,103221,3,1
1,1554.49772763432,1,4,1,3,0,1,53995.403088259,10406102001004,2018,2,49320,33748,104061,3,0
1,1554.49772763432,1,8,4,4,0,1,102749.163647942,10406102001011,2018,3,49320,33748,104061,3,0
1,1554.49772763432,1,1,0,1,1,2,46855.6835933162,10406102001019,2018,1,49320,33748,104061,3,1
1,1554.49772763432,1,4,2,2,2,1,78761.8257389784,10406102001026,2018,1,49320,33748,104061,3,0
1,1554.49772763432,1,6,3,3,2,1,49202.6447188648,10406102001040,2018,2,49320,33748,104061,3,1
1,1554.49772763432,1,1,0,1,0,1,64158.6238751913,10406102001047,2018,3,49320,33748,104061,3,0
1,1554.49772763432,1,7,3,4,0,1,59432.8661562384,10406102001054,2018,1,49320,33748,104061,3,0
1,1554.49772763432,1,5,3,2,0,1,75100.5770349257,10406102001061,2018,1,49320,33748,104061,3,0
1,1554.49772763432,1,4,2,2,0,1,43841.5256309884,10406102001075,2018,2,49320,33748,104061,3,1
1,1554.49772763432,1,4,2,2,2,1,57194.9593785584,10406102001082,2018,1,49320,33748,104061,3,0
1,1554.49772763432,1,6,4,2,1,1,48061.3898880554,10406102001089,2018,1,49320,33748,104061,3,1
1,1554.49772763432,1,5,3,2,0,1,44198.4536196517,10406102001103,2018,1,49320,33748,104061,3,1
1,1275.86134249232,1,6,4,2,0,2,42454.2056550707,10413102013003,2018,1,49320,33748,104131,3,1
1,1275.86134249232,1,4,3,1,1,2,74050.7918841634,10413102013009,2018,2,49320,33748,104131,3,0
1,1275.86134249232,1,5,3,2,1,2,51202.3141659087,10413102013014,2018,1,49320,33748,104131,3,0
1,1275.86134249232,1,1,0,1,0,1,210576.286406511,10413102013019,2018,3,49320,33748,104131,3,0
1,1275.86134249232,1,3,1,2,0,2,46170.1521494874,10413102013032,2018,3,49320,33748,104131,3,1
1,1275.86134249232,1,4,1,3,1,2,46715.5187266895,10413102013038,2018,1,49320,33748,104131,3,1
1,1275.86134249232,1,3,1,2,0,1,54165.816739428,10413102013043,2018,2,49320,33748,104131,3,0
1,1275.86134249232,1,7,2,5,0,2,62076.3686961007,10413102013048,2018,3,49320,33748,104131,3,0
1,1275.86134249232,1,7,4,3,0,1,50166.9651277309,10413102013058,2018,3,49320,33748,104131,3,0
