"STRATUM","hhweight","region","hhsize","ch14","adult","elderly","sex_hhh","cons","year","educlevel_hhh","hhid","CLUSTER","hhh_main_activity","povline","food_povline","below_pov"
1,1183.42691580186,1,2,0,2,0,2,186794.50862842,2012,3,14101031149,8,2,36482,26085,0
1,1183.42691580186,1,2,1,1,0,1,52813.8787830082,2012,3,14101031157,8,2,36482,26085,0
1,1183.42691580186,1,1,0,1,0,1,94117.3522004172,2012,3,14101031179,8,4,36482,26085,0
1,1183.42691580186,1,10,5,5,0,1,54948.7281603295,2012,5,14101031195,8,1,36482,26085,0
1,1183.42691580186,1,2,0,2,0,1,51743.8548593133,2012,2,14101031202,8,2,36482,26085,0
1,1183.42691580186,1,3,2,1,0,2,95442.0814588911,2012,3,14101031218,8,1,36482,26085,0
1,1183.42691580186,1,6,2,4,0,1,111185.463010172,2012,3,14101031225,8,2,36482,26085,0
1,1321.04359858982,1,7,4,3,0,1,46189.5009027522,2012,3,14251022003,9,1,36482,26085,0
1,1321.04359858982,1,5,2,3,0,1,66694.9113087423,2012,3,14251022007,9,1,36482,26085,0
1,1321.04359858982,1,4,2,2,0,1,46526.8295190368,2012,1,14251022011,9,1,36482,26085,0
1,1321.04359858982,1,3,1,2,0,1,45789.2991314298,2012,1,14251022015,9,1,36482,26085,0
1,1321.04359858982,1,5,3,2,0,2,39326.9672278072,2012,3,14251022019,9,1,36482,26085,0
1,1321.04359858982,1,6,4,2,0,1,110146.213669218,2012,3,14251022023,9,1,36482,26085,0
1,1321.04359858982,1,3,0,3,1,1,65144.7348336368,2012,1,14251022027,9,1,36482,26085,0
1,1321.04359858982,1,5,3,2,0,1,39580.3150927208,2012,3,14251022031,9,1,36482,26085,0
1,1321.04359858982,1,2,1,1,1,2,84468.5461052507,2012,1,14251022035,9,1,36482,26085,0
1,1321.04359858982,1,3,1,2,0,1,35188.9347117184,2012,1,14251022039,9,1,36482,26085,1
1,1321.04359858982,1,7,3,4,0,1,48219.4443616291,2012,3,14251022043,9,1,36482,26085,0
1,1321.04359858982,1,7,4,3,0,1,49751.0248558063,2012,1,14251022047,9,1,36482,26085,0
1,1321.04359858982,1,4,0,4,0,1,73170.6555957366,2012,3,14251022055,9,1,36482,26085,0
1,1321.04359858982,1,6,4,2,2,1,72322.5828057326,2012,2,14251022059,9,1,36482,26085,0
1,1321.04359858982,1,7,2,5,0,1,58286.8380377305,2012,3,14251022063,9,1,36482,26085,0
1,1321.04359858982,1,3,1,2,0,1,81229.2848228578,2012,3,14251022067,9,1,36482,26085,0
1,1321.04359858982,1,6,2,4,0,1,69839.9884920297,2012,3,14251022071,9,1,36482,26085,0
1,1321.04359858982,1,3,1,2,0,1,58949.9348369541,2012,3,14251022075,9,1,36482,26085,0
1,1321.04359858982,1,1,0,1,1,2,70775.8231233386,2012,1,14251022079,9,1,36482,26085,0
1,1321.04359858982,1,8,3,5,0,1,33698.9791098073,2012,1,14251022083,9,1,36482,26085,1
1,1321.04359858982,1,4,2,2,1,2,51985.3670408594,2012,2,14251022087,9,1,36482,26085,0
1,1321.04359858982,1,5,2,3,2,2,50856.1858532545,2012,3,14251022095,9,1,36482,26085,0
1,1321.04359858982,1,4,2,2,0,1,72549.0607487932,2012,3,14251022099,9,1,36482,26085,0
1,1321.04359858982,1,2,0,2,2,1,40921.2878015264,2012,1,14251022102,9,1,36482,26085,0
1,1321.04359858982,1,4,3,1,0,2,44484.1171685188,2012,1,14251022106,9,1,36482,26085,0
1,1321.04359858982,1,5,3,2,0,2,45356.3300817669,2012,3,14251022114,9,1,36482,26085,0
